S.No,global_proc_id,DRG_Codes
1,1,39
2,2,57
3,3,64
4,4,65
5,5,66
6,6,69
7,7,74
8,8,101
9,9,149
10,10,176
11,11,177
12,12,178
13,13,189
14,14,190
15,15,191
16,16,192
17,17,193
18,18,194
19,19,195
20,20,202
21,21,203
22,22,207
23,23,208
24,24,238
25,25,243
26,26,244
27,27,246
28,28,247
29,29,249
30,30,251
31,31,252
32,32,253
33,33,254
34,34,280
35,35,281
36,36,282
37,37,286
38,38,287
39,39,291
40,40,292
41,41,293
42,42,300
43,43,301
44,44,303
45,45,305
46,46,308
47,47,309
48,48,310
49,49,312
50,50,313
51,51,314
52,52,315
53,53,329
54,54,330
55,55,372
56,56,377
57,57,378
58,58,379
59,59,389
60,60,390
61,61,391
62,62,392
63,63,394
64,64,418
65,65,419
66,66,439
67,67,460
68,68,469
69,69,470
70,70,473
71,71,480
72,72,481
73,73,482
74,74,491
75,75,536
76,76,552
77,77,563
78,78,602
79,79,603
80,80,638
81,81,640
82,82,641
83,83,682
84,84,683
85,85,684
86,86,689
87,87,690
88,88,698
89,89,699
90,90,811
91,91,812
92,92,853
93,93,870
94,94,871
95,95,872
96,96,885
97,97,897
98,98,917
99,99,918
100,100,948
101,101,469
102,102,470
103,103,473
104,104,480
105,105,481
106,106,482
107,107,491
108,108,536
109,109,552
110,110,563
111,111,602
112,112,603
113,113,638
114,114,640
115,115,641
116,116,682
117,117,683
118,118,684
119,119,689
120,120,690
121,121,698
122,122,699
123,123,811
124,124,812
125,125,853
126,126,870
127,127,871
128,128,872
129,129,885
130,130,897
